country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
Moldova,MDA,2018,5.538879871,,101.7815781,17.92314,9.86318,103.3373871,95.91591644,52.84231186
Moldova,MDA,2019,6.225769997,,102.4273834,,,105.0749207,95.65075684,54.78120041
Monaco,MCO,2015,,,,12.63871,8.12069,,,
Monaco,MCO,2016,1.372460008,,150.1805115,13.70548,,144.476532,154.1569824,53.35916901
Monaco,MCO,2017,1.457929969,,,10.45596,8.54364,,,
Monaco,MCO,2018,,,,11.38506,,,,
Monaco,MCO,2019,1.158900023,,,11.7,,,,
Mongolia,MNG,2015,4.387156487,,99.2064743,28.222,,98.00402628,,71.42999268
Mongolia,MNG,2016,5.200432777,,96.74391937,29.69343,,97.64021765,,66.97664642
Mongolia,MNG,2017,4.318223953,,93.27452087,30.37955,,96.3200636,,65.4128418
Mongolia,MNG,2018,3.997427225,96.89634705,97.20264435,30.38318,,96.7014589,91.14496608,65.64924622
Mongolia,MNG,2019,3.652369738,,96.70225525,,,96.09524453,89.15584236,67.62815857
Montenegro,MNE,2015,,,99.93222046,,,101.2036209,91.86341095,63.93727112
Montenegro,MNE,2016,,,97.46122742,,,100.1745911,90.55751801,59.18392181
Montenegro,MNE,2017,,,97.76406097,,,100.9432526,90.60222626,60.9102211
Montenegro,MNE,2018,,98.53440094,100.5366211,,,103.264473,91.44426727,58.18315125
Montenegro,MNE,2019,,,98.68656158,,,103.651741,91.84033203,56.26332092
Morocco,MAR,2015,5.133368969,,95.71690369,25.88159,,107.7627487,,28.69558907
Morocco,MAR,2016,5.085301876,,94.26103973,26.59118,,107.9843674,,32.26958084
Morocco,MAR,2017,4.735649586,,91.4058609,28.03417,20.26796,109.2592316,78.53610229,33.73701096
Morocco,MAR,2018,4.960227013,,91.3554306,26.80065,19.42453,110.3672333,79.01625824,35.62242126
Morocco,MAR,2019,5.003256798,,94.31922913,,,111.5162506,80.12779236,38.02486038
Mozambique,MOZ,2015,6.010834217,56.0,51.83055115,54.66026,39.68606,114.5095673,34.76219177,6.810039997
Mozambique,MOZ,2016,5.800869942,,,53.60539,,113.7423401,27.89423957,7.387899876
